ticker,instrument_key
364D110626.NS,NSE_EQ|IN002025Z112
364D121126.NS,NSE_EQ|IN002025Z336
364D130826.NS,NSE_EQ|IN002025Z203
364D140526.NS,NSE_EQ|IN002025Z070
364D150127.NS,NSE_EQ|IN002025Z419
364D151026.NS,NSE_EQ|IN002025Z294
364D160426.NS,NSE_EQ|IN002025Z039
364D160726.NS,NSE_EQ|IN002025Z161
364D170926.NS,NSE_EQ|IN002025Z252
364D171226.NS,NSE_EQ|IN002025Z385
364D180626.NS,NSE_EQ|IN002025Z120
364D190227.NS,NSE_EQ|IN002025Z468
364D190326.NS,NSE_EQ|IN002024Z495
364D191126.NS,NSE_EQ|IN002025Z344
364D200826.NS,NSE_EQ|IN002025Z211
364D210127.NS,NSE_EQ|IN002025Z427
364D210526.NS,NSE_EQ|IN002025Z088
364D230726.NS,NSE_EQ|IN002025Z179
364D231026.NS,NSE_EQ|IN002025Z302
364D240426.NS,NSE_EQ|IN002025Z047
364D240926.NS,NSE_EQ|IN002025Z260
364D250227.NS,NSE_EQ|IN002025Z476
364D250626.NS,NSE_EQ|IN002025Z138
364D251226.NS,NSE_EQ|IN002025Z393
364D260326.NS,NSE_EQ|IN002024Z503
364D261126.NS,NSE_EQ|IN002025Z351
364D280127.NS,NSE_EQ|IN002025Z435
364D280526.NS,NSE_EQ|IN002025Z096
364D280826.NS,NSE_EQ|IN002025Z229
364D291026.NS,NSE_EQ|IN002025Z310
364D300726.NS,NSE_EQ|IN002025Z187
3IINFOLTD.NS,NSE_EQ|INE748C01038
3MINDIA.NS,NSE_EQ|INE470A01017
3PLAND.NS,NSE_EQ|INE105C01023
563GS2026.NS,NSE_EQ|IN0020210012
574GS2026.NS,NSE_EQ|IN0020210186
575PY26.NS,NSE_EQ|IN3820200035
577GS2030.NS,NSE_EQ|IN0020200153
579GS2030.NS,NSE_EQ|IN0020200070
57KA26.NS,NSE_EQ|IN1920200079
582RJ27.NS,NSE_EQ|IN2920200556
585GS2030.NS,NSE_EQ|IN0020200294
588CG26.NS,NSE_EQ|IN3520200087
591GS2028.NS,NSE_EQ|IN0020250034
593CG26.NS,NSE_EQ|IN3520200079
596PY26.NS,NSE_EQ|IN3820210018
597CG27.NS,NSE_EQ|IN3520200095
599MP26.NS,NSE_EQ|IN2120210025
5PAISA.NS,NSE_EQ|INE618L01018
601GS2028.NS,NSE_EQ|IN0020020247
601GS2030.NS,NSE_EQ|IN0020250067
601RJ26.NS,NSE_EQ|IN2920210316
603GS2029.NS,NSE_EQ|IN0020250125
604AS26.NS,NSE_EQ|IN1220210158
604GJ26.NS,NSE_EQ|IN1520210130
605RJ26.NS,NSE_EQ|IN2920210142
607RJ26.NS,NSE_EQ|IN2920210381
609AS26.NS,NSE_EQ|IN1220210091
609KA28.NS,NSE_EQ|IN1920200095
60TN28.NS,NSE_EQ|IN3120250102
610GS2031.NS,NSE_EQ|IN0020210095
612KA27.NS,NSE_EQ|IN1920200087
613GS2028.NS,NSE_EQ|IN0020030022
613OR28.NS,NSE_EQ|IN2720250017
613RJ26.NS,NSE_EQ|IN2920210068
614TN28.NS,NSE_EQ|IN3120250185
617KL27.NS,NSE_EQ|IN2020200233
618GJ26.NS,NSE_EQ|IN1520200339
619GS2034.NS,NSE_EQ|IN0020200096
61CG27.NS,NSE_EQ|IN3520200103
61GJ28.NS,NSE_EQ|IN1520250085
61RJ26.NS,NSE_EQ|IN2920210084
61RJ27.NS,NSE_EQ|IN2920200440
622AS30.NS,NSE_EQ|IN1220250055
622GS2035.NS,NSE_EQ|IN0020200245
622KL27.NS,NSE_EQ|IN2020200225
623RJ27.NS,NSE_EQ|IN2920210290
624HR26.NS,NSE_EQ|IN1620200031
624MH26.NS,NSE_EQ|IN2220210214
624MH28.NS,NSE_EQ|IN2220200116
624RJ26.NS,NSE_EQ|IN2920210183
624TS26.NS,NSE_EQ|IN4520200085
625AS26.NS,NSE_EQ|IN1220210026
627PFCL27.NS,NSE_EQ|INE134E08NT9
627RJ26.NS,NSE_EQ|IN2920210241
627TN27.NS,NSE_EQ|IN3120250243
627TN29.NS,NSE_EQ|IN3120250193
628GJ27.NS,NSE_EQ|IN1520210098
628GS2032.NS,NSE_EQ|IN0020250059
629RJ26.NS,NSE_EQ|IN2920210225
629RJ26A.NS,NSE_EQ|IN2920210407
62RJ27.NS,NSE_EQ|IN2920200267
632KA28.NS,NSE_EQ|IN1920200129
633AS26.NS,NSE_EQ|IN1220210018
633AS26A.NS,NSE_EQ|IN1220210182
633GS2035.NS,NSE_EQ|IN0020250026
633TN30.NS,NSE_EQ|IN3120200222
634RJ27.NS,NSE_EQ|IN2920210340
635AP27.NS,NSE_EQ|IN1020200110
635LT28.NS,NSE_EQ|INE018A08BN0
635MH28.NS,NSE_EQ|IN2220200314
636GS2031.NS,NSE_EQ|IN0020250141
636HP28.NS,NSE_EQ|IN1720200030
637RECL27.NS,NSE_EQ|INE020B08FX4
638MH27.NS,NSE_EQ|IN2220210230
639AP26.NS,NSE_EQ|IN1020200136
639BR27.NS,NSE_EQ|IN1320210017
63MOONS.NS,NSE_EQ|INE111B01023
63PY27.NS,NSE_EQ|IN3820210042
640NHPCL27.NS,NSE_EQ|INE848E08375
640TN32.NS,NSE_EQ|IN3120250078
641GA30.NS,NSE_EQ|IN1420200082
641TN30.NS,NSE_EQ|IN3120200214
642GA30.NS,NSE_EQ|IN1420200165
642JK31.NS,NSE_EQ|IN4920250037
642JK31A.NS,NSE_EQ|IN4920250052
642MN30.NS,NSE_EQ|IN2320200040
642PN30.NS,NSE_EQ|IN2820200094
642TN31.NS,NSE_EQ|IN3120250128
642UP30.NS,NSE_EQ|IN3320200154
643AP30.NS,NSE_EQ|IN1020200458
643AS26.NS,NSE_EQ|IN1220200340
643MH27.NS,NSE_EQ|IN2220210222
643RJ27.NS,NSE_EQ|IN2920210431
643UK30.NS,NSE_EQ|IN3620200029
644GJ29.NS,NSE_EQ|IN1520200081
644GJ29A.NS,NSE_EQ|IN1520200115
644MH28.NS,NSE_EQ|IN2220200124
644UK30.NS,NSE_EQ|IN3620200060
644UP30.NS,NSE_EQ|IN3320200063
645BR27.NS,NSE_EQ|IN1320210025
645GJ30.NS,NSE_EQ|IN1520200131
645GJ30A.NS,NSE_EQ|IN1520200248
645GS2029.NS,NSE_EQ|IN0020190362
645HP29.NS,NSE_EQ|IN1720200071
645MH27.NS,NSE_EQ|IN2220200249
645ML30.NS,NSE_EQ|IN2420200023
645MN30.NS,NSE_EQ|IN2320200057
645RJ27.NS,NSE_EQ|IN2920200614
645RJ27A.NS,NSE_EQ|IN2920210449
645RJ30.NS,NSE_EQ|IN2920200457
646GJ30.NS,NSE_EQ|IN1520200198
646JK30.NS,NSE_EQ|IN4920200065
646RJ30.NS,NSE_EQ|IN2920200317
646RJ30A.NS,NSE_EQ|IN2920200358
646WB30.NS,NSE_EQ|IN3420200070
647GJ30.NS,NSE_EQ|IN1520200040
647IRFC28.NS,NSE_EQ|INE053F08510
647KA30.NS,NSE_EQ|IN1920200392
647MH28.NS,NSE_EQ|IN2220200272
648AP27.NS,NSE_EQ|IN1020200193
648AP32.NS,NSE_EQ|IN1020200243
648AS30.NS,NSE_EQ|IN1220200118
648GS2035.NS,NSE_EQ|IN0020250091
648HR40.NS,NSE_EQ|IN1620200072
648KA30.NS,NSE_EQ|IN1920200137
648KA31.NS,NSE_EQ|IN1920200368
648MZ30.NS,NSE_EQ|IN2520200055
648RJ27.NS,NSE_EQ|IN2920210506
649AP33.NS,NSE_EQ|IN1020200250
649GJ29.NS,NSE_EQ|IN1520200222
649KA30.NS,NSE_EQ|IN1920200038
649KA30A.NS,NSE_EQ|IN1920200418
649KA31.NS,NSE_EQ|IN1920200145
649MH31.NS,NSE_EQ|IN2220200132
649OR30.NS,NSE_EQ|IN2720250033
649RJ30.NS,NSE_EQ|IN2920200085
649TN50.NS,NSE_EQ|IN3120200230
649TS50.NS,NSE_EQ|IN4520200127
64AP28.NS,NSE_EQ|IN1020200474
64GJ30.NS,NSE_EQ|IN1520200107
64GJ30A.NS,NSE_EQ|IN1520200180
64KA30.NS,NSE_EQ|IN1920200103
64KA30A.NS,NSE_EQ|IN1920200194
64KA30B.NS,NSE_EQ|IN1920200350
64KA30C.NS,NSE_EQ|IN1920200376
64KA31.NS,NSE_EQ|IN1920200111
64MH30.NS,NSE_EQ|IN2220200298
651GJ33.NS,NSE_EQ|IN1520250078
651HP30.NS,NSE_EQ|IN1720200089
651KA30.NS,NSE_EQ|IN1920200335
651KA30B.NS,NSE_EQ|IN1920200517
651KA30C.NS,NSE_EQ|IN1920200533
