S.No.,Company Name,Technical Analysis,Technical Analysis_2,Technical Analysis_3,,CMP Rs.,P/E,Mar CapRs.Cr.,Div Yld%,NP QtrRs.Cr.,Qtr Profit Var%,Sales QtrRs.Cr.,Qtr Sales Var%,ROCE %,EPS AnnRs.,EPS Var 5Yrs%,Ticker (NSE),Ticker symbols_2,Rev Avg Est (INR Mn),Rev Growth%,EPS Analysts,EPS Avg Est,EPS Growth%,Price High,High % Change,Price Avg,Avg % Change,Price Low,Low % Change,Price Analysts,F-Score,Z-Score,M-Score,_fetched_at
66,Emcure Pharma,,,,,1488.7,31.21,28221.67,0.2,231.37,66.63,2363.48,20.42,20.72,35.96,34.92,EMCURE.NS,EMCURE.NS,91437.83,13.05,6,49.94415,21.53,1932,29.78,1783.5,19.8,1620,8.82,6,8,6.21,-5.12,2026-04-10 16:11:56
47,Schaeffler India,YES,YES,YES,BUY,3772.1,52.75,58959.31,0.74,306.65,24.08,2360.14,13.86,25.67,62.55,21.59,SCHAEFFLER.NS,SCHAEFFLER.NS,93306,14.08,8,73.35,18.17,5078,34.62,4594,21.79,4080,8.16,8,7,19.89,-5.14,2026-04-10 16:11:56
4,Castrol India,,,,,185.2,18.95,18318.55,4.72,244.67,-3.87,1439.92,6.35,60.79,9.6,10.64,CASTROLIND.NS,CASTROLIND.NS,60836.08,7.43,6,10.50322,8.42,255,37.69,227.5,22.84,200,7.99,6,7,10.3,-5.11,2026-04-10 16:11:56
62,Zensar Tech.,,,,,588.35,17.62,13380.87,2.21,199.8,37.02,1430.7,7.93,21.28,28.61,19.63,ZENSARTECH.NS,ZENSARTECH.NS,56991.08,8.02,12,33.3,6.31,1000,69.97,811,37.84,632,7.42,12,3,8.29,-5.37,2026-04-10 16:11:56
51,Sumitomo Chemi.,,,,,407.05,37.46,20317.73,0.29,74.83,2.27,551.76,-11.35,25.14,10.06,17.27,SUMICHEM.NS,SUMICHEM.NS,32787.17,14.1,7,11.08667,18.17,659,61.9,560,37.58,435,6.87,7,5,12.18,-5.33,2026-04-10 16:11:56
61,Gravita India,,,,,1653.6,31.95,12204.97,0.38,97.49,25.33,1017.07,2.07,21.5,42.32,46.73,GRAVITA.NS,GRAVITA.NS,43181.03,30.77,9,53.38228,22.91,2658,60.74,2150,30.02,1761,6.49,9,4,17,-5.25,2026-04-10 16:11:56
44,Gabriel India,,,,,989.6,57.67,14215,0.47,65.64,41,1071.57,15.95,26.14,14.75,19.99,GABRIEL.NS,GABRIEL.NS,46443,24.79,3,19.58333,55.87,1297,31.06,1290,30.36,1050,6.1,3,5,11.5,-5.31,2026-04-10 16:11:56
14,Abbott India,,,,,26460,36.89,56227.5,1.8,375.96,4.21,1724.04,6.8,46.25,665.64,18.98,ABBOTINDIA.NS,ABBOTINDIA.NS,69277.38,8.57,8,738.48535,10.63,40000,51.17,34235,29.38,27890,5.4,8,5,22.72,-5.6,2026-04-10 16:11:56
82,Tega Inds.,,,,,1638,60.95,12305.92,0.12,19.71,-63.67,403.71,-1.36,17.8,30.08,21.24,TEGA.NS,TEGA.NS,18158.5,19.17,4,32,43.31,2162,31.99,2044.5,24.82,1725,5.31,4,3,12.12,-5.29,2026-04-10 16:11:56
42,Dodla Dairy,,,,,1206.4,26.86,7277.95,0.41,68.74,17.08,1025.04,13.74,26.55,43.09,36.5,DODLA.NS,DODLA.NS,40899.5,16.39,4,42.7,24.12,1650,36.77,1537.5,27.45,1250,3.61,4,8,14.42,-4.51,2026-04-10 16:11:56
25,CRISIL,,,,,4443.2,42.42,32493.13,0.56,241.5,7.48,1081.57,18.47,34.6,104.75,16.82,CRISIL.NS,2,40853.52,11.89,2,126.7325,15.52,5613,26.33,5106.5,14.93,4600,3.53,2,3,13.01,-5.27,2026-04-10 16:11:56
85,Sundram Fasten.,,,,,926.05,34.51,19458.94,0.78,130.8,7.6,1541.11,6.94,17.14,25.66,10.69,SUNDRMFAST.NS,SUNDRMFAST.NS,62250,11.01,4,28.05,20.02,1576,70.19,1181.5,27.58,950,2.59,4,3,7.7,-5.41,2026-04-10 16:11:56
73,Campus Activewe.,,,,,272.8,59.13,8336.58,0.37,63.68,37.03,588.61,14.34,20.1,3.97,0.06,CAMPUS.NS,7,17765.33,14.32,7,4.88396,21.43,371,36,300,9.97,276,1.17,7,7,9.69,-4.87,2026-04-10 16:11:56
1,Tips Music,,,,,576.5,39.14,7369.49,2.25,58.66,32.62,94.29,21.4,108.83,13.03,74.26,TIPSMUSIC.NS,TIPSMUSIC.NS,3697,20.02,3,16.43333,10.75,692,20.03,671,16.39,580,0.61,3,6,32.58,-5.78,2026-04-10 16:11:56
23,ITC,,,,,313.75,19.05,393104.57,4.57,5018.45,9.62,20047.3,6.69,36.79,27.77,4.66,ITC.NS,ITC.NS,800056.55,4.92,36,16.52075,0.61,505,60.96,365,16.33,314,0.08,36,5,14.86,-6.18,2026-04-10 16:11:56
75,Indigo Paints,,,,,973.1,31.11,4639.32,0.36,36.16,10.61,338.85,3.47,19.51,30.22,12.91,INDIGOPNTS.NS,INDIGOPNTS.NS,14004.5,12.92,9,31.4375,15.86,1505,54.66,1234,26.81,970,-0.32,9,5,7.72,-5.12,2026-04-10 16:11:56
72,ZF Commercial,,,,,15858,60.57,30066.77,0.12,138.68,15.71,1057.65,10.65,20.15,241.81,27.06,ZFCVINDIA.NS,5,40878.4,15.99,5,275.425,17.06,19714,24.32,17490,10.29,15746,-0.71,5,6,29.47,-5.56,2026-04-10 16:11:56
54,Coromandel Inter,,,,,2279.5,31.7,67244.2,0.53,488.47,-1.15,8779.45,26.59,23.2,70.14,10,COROMANDEL.NS,10,311290.89,6.84,10,74.02222,27.59,3291,44.37,2550,11.87,2260,-0.86,10,7,5.95,-5.14,2026-04-10 16:11:56
74,Wipro,,,,,214.09,16.93,224523.74,5.14,3145,-7,23555.8,5.54,19.51,12.54,8,WIPRO.NS,WIPRO.NS,924183.14,6.44,42,12.74313,5.85,330,54.14,270,26.12,210,-1.91,42,7,3.9,-5.21,2026-04-10 16:11:56
49,Havells India,,,,,1404,58,88066.86,0.71,300.05,19.99,5587.89,14.3,25.32,23.48,14.86,HAVELLS.NS,HAVELLS.NS,232233.46,15.92,36,24.80641,25.54,1880,33.9,1645,17.17,1350,-3.85,36,7,11.21,-5.21,2026-04-10 16:11:56
31,HCL Technologies,,,,,1455.2,23,394892.54,3.71,4082,4.19,33872,13.32,31.61,64.08,9.49,HCLTECH.NS,HCLTECH.NS,1298785.45,8.57,44,64.15662,14.78,2200,51.18,1742.5,19.74,1396,-4.07,44,7,8.01,-5.09,2026-04-10 16:11:56
43,United Spirits,,,,,1402.4,57.98,102003.68,0.86,418,11.77,3694,7.6,26.5,21.75,19.51,UNITDSPR.NS,25,130390.82,10.25,25,25.12105,12.52,1730,23.36,1565,11.59,1300,-7.3,25,5,12.96,-5.17,2026-04-10 16:11:56
45,J B Chemicals &,,,,,1891.8,40.29,30368.6,0.82,197.89,21.79,1064.72,10.51,25.79,42.37,19.62,JBCHEPHARM.NS,11,42937.18,12.65,11,51.005,17.19,2320,22.63,2160,14.18,1752,-7.39,11,8,25.34,-5,2026-04-10 16:11:56
6,Page Industries,,,,,33530,48.26,37398.94,2.68,189.54,5.2,1386.76,5.61,59.4,653.71,16.26,PAGEIND.NS,26,51721.35,9.1,26,706.8911,8.08,50716,51.26,38457.5,14.7,31000,-7.55,26,7,20.01,-4.45,2026-04-10 16:11:56
77,AIA Engineering,,,,,3861.8,30.94,36038.46,0.41,292.95,14.56,1066.89,0.06,18.92,113.67,13.47,AIAENG.NS,11,43388.9,12.87,11,124.58636,6.83,4600,19.12,3865,0.08,3568,-7.61,11,5,23.6,-5.37,2026-04-10 16:11:56
65,Grindwell Norton,,,,,1635.7,46.55,18110.47,1.04,95.58,9.62,752.79,7.14,20.9,33.3,15.09,GRINDWELL.NS,3,30274.5,12.39,3,36.2,17.13,2175,32.97,1731,5.83,1509,-7.75,3,5,14.32,-5.18,2026-04-10 16:11:56
10,Cams Services,,,,,721.05,40.24,17873.99,1.72,121.98,3.53,366.97,5.59,54.75,17.85,21.63,CAMS.NS,CAMS.NS,15307.49,13.48,18,19.30283,16.07,1000,38.69,844,17.05,660,-8.47,18,8,22.36,-5.15,2026-04-10 16:11:56
71,Sun Pharma.Inds.,YES,YES,YES,BUY,1697.5,33.56,407287.11,0.94,3381.17,18.73,15520.54,13.49,20.21,45.55,23.78,SUNPHARMA.NS,SUNPHARMA.NS,581127.55,10.74,38,50.3487,12.76,2450,44.33,1984,16.88,1550,-8.69,38,7,14.33,-5.12,2026-04-10 16:11:56
13,P & G Health Ltd,,,,,4989,28.22,8281.43,2.51,77.59,-14.64,373.86,20.69,47.75,141.22,8.11,POWERGRID.NS,23,486316.6,7.92,23,17.1,8.51,390,35.79,306,6.55,260,-9.47,23,5,1.46,-4.99,2026-04-10 16:11:56
26,Indiamart Inter.,,,,,2200,21.85,13219.17,1.36,188.3,55.62,401.6,13.35,34.24,91.73,28.12,INDIAMART.NS,19,15725.69,12.46,19,97.61912,-2.66,3500,59.09,2530,15,1975,-10.23,19,7,4.94,-5.15,2026-04-10 16:11:56
30,Ajanta Pharma,,,,,2920.1,35.96,36482.45,0.96,273.77,17.56,1374.84,19.95,32.37,73.68,15.34,AJANTPHARM.NS,12,53749.5,13.19,12,84.86667,17.12,3742,28.15,3227.5,10.53,2605,-10.79,12,7,19.69,-5.05,2026-04-10 16:11:56
34,Pidilite Inds.,,,,,1479.3,65.05,150550.44,0.68,623.84,12.64,3709.91,10.12,29.84,20.41,12.6,PIDILITIND.NS,20,145289.21,11.43,20,23.98227,12.03,1915,29.45,1650,11.54,1300,-12.12,20,7,22.5,-5.23,2026-04-10 16:11:56
92,Lodha Developers,,,,,1073.6,32.09,107239.46,0.4,957.7,1.32,4672.5,14.44,15.62,27.71,25.03,LODHA.NS,LODHA.NS,169333.86,17.82,18,34.03236,22.59,1615,50.43,1342.5,25.05,940,-12.44,18,6,2.35,-5.22,2026-04-10 16:11:56
40,LTIMindtree,,,,,5115.5,29.28,151671.16,1.27,959.6,28.57,10781,11.59,27.63,155.21,12.2,LTIM.NS,LTIM.NS,420955.93,11.21,40,182.0939,16.09,7900,54.43,6492.5,26.92,4450,-13.01,40,3,12.06,-5.31,2026-04-10 16:11:56
12,I R C T C,,,,,617.5,35.73,49400,1.38,394.49,13.29,1449.47,18.36,49.03,16.43,20.04,IRCTC.NS,IRCTC.NS,52099,14.6,8,18.65,15.01,1200,94.33,796.5,28.99,537,-13.04,8,5,9.81,-5.61,2026-04-10 16:11:56
70,Coforge,,,,,1361.8,36.37,45726.86,1.12,296.7,55.54,4188.1,28.54,20.34,24.29,11.08,COFORGE.NS,COFORGE.NS,162770.48,19.65,32,43.19869,28.09,2500,83.58,2034,49.36,1180,-13.35,32,5,7,-4.95,2026-04-10 16:11:56
64,Timken India,,,,,3062.8,53.53,23037.99,1.18,49.85,-32.92,764.38,13.84,20.93,59.48,12.63,TIMKEN.NS,TIMKEN.NS,34394.18,15.17,6,54.22803,29.92,3740,22.11,3548,15.84,2629,-14.16,6,3,27.05,-5.37,2026-04-10 16:11:56
67,Vinati Organics,,,,,1498.7,32.51,15536.37,0.5,108.47,13.52,529.14,1.43,20.61,40.05,4.28,VINATIORGA.NS,VINATIORGA.NS,22764.87,27.84,11,45.1,22.02,2421,61.54,1825,21.77,1280,-14.59,11,7,18.77,-5.14,2026-04-10 16:11:56
11,Indian Energy Ex,,,,,123.95,23.94,11052.53,2.42,115.09,11.58,143.9,9.59,53.61,4.65,19.98,IEX.NS,11,6060.5,10.11,11,5.53333,9.16,285,129.93,135,8.91,105,-15.29,11,3,7.15,-5.21,2026-04-10 16:11:56
35,Polycab India,,,,,7587.5,43.5,114229.37,0.46,630.17,35.87,7636.13,46.12,29.72,134.28,20.69,POLYCAB.NS,POLYCAB.NS,287696.89,19.6,31,179.3309,17.28,9744,28.42,8870,16.9,6400,-15.65,31,3,21.53,-5.25,2026-04-10 16:11:56
87,Apollo Hospitals,YES,YES,YES,BUY,7542.5,59.72,108449.58,0.25,516.3,38.72,6477.4,17.2,16.64,100.56,32.84,APOLLOHOSP.NS,APOLLOHOSP.NS,251763.37,20.1,29,132.73334,25.61,9800,29.93,9000,19.32,6230,-17.4,29,7,7.03,-5.09,2026-04-10 16:11:56
76,Hitachi Energy,,,,,22418,113.29,99922.33,0.03,261.42,119.97,2082.21,28.51,19.44,86.15,13.4,POWERINDIA.NS,13,78114.92,48.74,13,215.89333,41.92,26500,18.21,24500,9.29,18400,-17.92,13,7,16.24,-4.59,2026-04-10 16:11:56
69,Alkem Lab,,,,,5402.5,26.91,64594.99,0.83,653.03,7.98,3736.82,10.74,20.38,181.11,13.93,ALKEM.NS,21,145799.78,10.53,21,209.92108,-8.5,7056,30.61,6100,12.91,4360,-19.3,21,5,8.66,-5.39,2026-04-10 16:11:56
33,Persistent Systems,,,,,5479,48.06,86431.23,0.64,439.45,35.75,3778.21,23.38,30.44,90.54,32.46,PERSISTENT.NS,PERSISTENT.NS,146280.14,19.06,35,121.12088,21.35,8865,61.8,6800,24.11,4375,-20.15,35,6,20.64,-5.32,2026-04-10 16:11:56
97,Escorts Kubota,,,,,3586.6,30.8,40126.08,0.78,358.32,38.46,3280.49,11.28,13.59,113.06,23.73,ESCORTS.NS,18,115970,9.73,18,127.9,8.77,4642,29.43,3868,7.85,2828,-21.15,18,6,8.85,-5.41,2026-04-10 16:11:56
38,Dr Lal Pathlabs,,,,,1398.7,42.72,23435.92,0.86,91.4,14.61,659.8,10.57,28.88,29.14,16.62,LALPATHLAB.NS,LALPATHLAB.NS,27383.23,11.97,26,30.76926,15.07,2090,49.42,1720,22.97,1097,-21.57,26,8,28.47,-5.13,2026-04-10 16:11:56
63,Bosch,,,,,35695,45.57,105277.55,1.43,532.1,7.9,4885.6,9.4,21.11,682.62,12.76,BOSCHLTD.NS,6,198251.44,11.84,6,809.5963,11.66,41625,16.61,36603,2.54,27920,-21.78,6,5,10.02,-5.21,2026-04-10 16:11:56
20,A B B,,,,,5780.5,69.32,122493.64,0.76,409.04,-7.17,3310.72,13.69,38.65,88.33,40.25,ABB.NS,26,131518.05,10.51,26,80.63592,11.81,6095,5.44,5265,-8.92,4504,-22.08,26,3,14.61,-5.44,2026-04-10 16:11:56
27,Hind.Aeronautics,,,,,4212.4,31.67,281714.78,0.95,1866.66,29.65,7698.8,10.66,33.88,125.07,24.46,HAL.NS,HAL.NS,345333.5,18.41,20,132.61925,14.61,6220,47.66,5451.5,29.42,3200,-24.03,20,5,2.87,-5.07,2026-04-10 16:11:56
7,Anand Rathi Wea.,,,,,2989.1,67.79,24815.7,0.35,100.19,29.66,289.62,22.18,56.26,36.12,26.06,ANANDRATHI.NS,3,11527,23.32,3,46.305,26.55,3280,9.73,3100,3.71,2150,-28.07,3,5,59.75,-5.41,2026-04-10 16:11:56
15,Marico,,,,,760.15,57.57,98675.7,1.38,460,12.03,3537,26.59,45.16,12.57,9.06,MARICO.NS,37,135227.85,7.67,37,13.66361,18.89,990,30.24,857,12.74,527,-30.67,37,3,16.99,-5.41,2026-04-10 16:11:56
3,TCS,,,,,2692.2,19.06,974061.52,2.23,10720,6.69,67087,4.87,64.63,134.2,9.28,TCS.NS,TCS.NS,2645088,7.07,46,142.41714,8,4810,78.66,3600,33.72,1775,-34.07,46,5,11.56,-5.29,2026-04-10 16:11:56
24,Cummins India,,,,,4412.4,52.51,122311.73,1.17,486.06,4.41,3054.92,-1.33,36.32,72.15,22.45,CUMMINSIND.NS,23,119737.68,15.65,23,86.31,15.05,5483,24.26,4650,5.38,2898,-34.32,23,5,31.78,-5.38,2026-04-10 16:11:56
